,0
1373,660
1374,1444
1375,988
1376,4
1377,713
1378,658
1379,569
1380,602
1381,542
1382,517
1383,753
1384,539
1385,678
1386,640
1387,530
1388,678
1389,544
1390,648
1391,517
1392,712
1393,506
1394,508
1395,516
1396,658
1397,1193
1398,2212
1399,0
1400,715
1401,162
1402,469
1403,766
1404,703
1405,809
1406,937
1407,589
1408,843
1409,593
1410,524
1411,956
1412,1341
1413,2
1414,567
1415,925
1416,527
1417,103
1418,1047
1419,552
1420,656
1421,668
1422,852
1423,667
1424,1208
1425,1159
1426,779
1427,677
1428,497
1429,721
1430,686
1431,570
1432,797
1433,763
1434,1051
1435,1120
1436,735
1437,64828
1438,1127
1439,737
1440,1066
1441,684
1442,716
1443,655
1444,1079
1445,678
1446,638
1447,513
1448,1049
1449,619
1450,1030
1451,568
1452,618
1453,548
1454,605
1455,765
1456,488
1457,103
1458,723
1459,293
1460,761
1461,761
1462,671
1463,720
1464,743
1465,551
1466,493
1467,541
1468,664
1469,660
1470,654
1471,538
1472,635
1473,644
1474,710
1475,496
1476,1187
1477,665
1478,565
1479,642
1480,491
1481,1065
1482,1103
1483,597
1484,512
1485,667
1486,671
1487,580
1488,1185
1489,802
1490,875
1491,740
1492,754
1493,652
1494,547
1495,662
1496,497
1497,671
1498,1088
1499,1204
1500,521
1501,1198
1502,687
1503,1046
1504,504
1505,520
1506,660
1507,1108
1508,581
1509,1294
1510,1211
1511,1210
1512,529
1513,537
1514,687
1515,508
1516,1089
1517,508
1518,772
1519,958
1520,534
1521,518
1522,695
1523,678
1524,585
1525,64822
1526,594
1527,672
1528,708
1529,524
1530,1049
1531,539
1532,554
1533,1188
1534,505
1535,987
1536,743
1537,543
1538,553
1539,622
1540,64807
1541,1083
1542,1069
1543,705
1544,489
1545,1003
1546,512
1547,660
1548,822
1549,504
1550,721
1551,531
1552,1024
1553,544
1554,675
1555,536
1556,1070
1557,64812
1558,1082
1559,545
1560,567
1561,483
1562,720
1563,676
1564,582
1565,969
1566,498
1567,714
1568,595
1569,603
1570,657
1571,921
1572,972
1573,1250
1574,528
1575,104
1576,671
1577,1203
1578,601
1579,1101
1580,1184
1581,696
1582,494
1583,552
1584,843
1585,611
1586,593
1587,810
1588,698
1589,504
1590,1103
1591,612
1592,516
1593,505
1594,699
1595,64822
1596,1101
1597,860
1598,680
1599,880
1600,1005
1601,722
