,0
1269,650
1270,678
1271,824
1272,704
1273,499
1274,659
1275,703
1276,673
1277,417
1278,1000
1279,658
1280,272
1281,705
1282,698
1283,663
1284,986
1285,763
1286,722
1287,504
1288,64671
1289,64635
1290,64580
1291,64535
1292,64593
1293,64706
1294,64845
1295,64997
1296,65157
1297,65354
1298,65466
1299,952
1300,660
1301,64826
1302,1084
1303,727
1304,573
1305,598
1306,913
1307,518
1308,665
1309,657
1310,664
1311,521
1312,732
1313,812
1314,553
1315,668
1316,491
1317,497
1318,64811
1319,1086
1320,543
1321,688
1322,651
1323,675
1324,816
1325,666
1326,764
1327,743
1328,490
1329,578
1330,673
1331,513
1332,656
1333,554
1334,671
1335,802
1336,637
1337,973
1338,687
1339,598
1340,687
1341,647
1342,569
1343,673
1344,64819
1345,1086
1346,658
1347,670
1348,541
1349,785
1350,64843
1351,1033
1352,605
1353,546
1354,684
1355,686
1356,601
1357,678
1358,700
1359,727
1360,797
1361,526
1362,498
1363,705
1364,721
1365,528
1366,536
1367,628
1368,674
1369,914
1370,715
1371,571
1372,1005
1373,1306
1374,1
1375,548
1376,578
1377,510
1378,573
1379,925
1380,664
1381,790
1382,807
1383,664
1384,811
1385,698
1386,720
1387,658
1388,699
1389,522
1390,1277
1391,1
1392,667
1393,683
1394,600
1395,627
1396,606
1397,814
1398,647
1399,834
1400,644
1401,645
1402,493
1403,671
1404,717
1405,522
1406,655
1407,65532
1408,552
1409,729
1410,570
1411,39
1412,959
1413,562
1414,740
1415,517
1416,64804
1417,1018
1418,468
1419,665
1420,395
1421,496
1422,668
1423,688
1424,679
1425,481
1426,527
1427,502
1428,540
1429,64800
1430,1019
1431,64818
1432,1076
1433,531
1434,669
1435,631
1436,665
1437,0
1438,497
1439,636
1440,684
1441,573
1442,584
1443,676
1444,499
1445,65534
1446,820
1447,693
1448,848
1449,835
1450,660
1451,675
1452,560
1453,585
1454,650
1455,524
1456,107
1457,562
1458,64818
1459,1072
1460,716
1461,712
1462,592
1463,542
1464,638
1465,618
1466,722
1467,630
1468,516
1469,523
1470,492
1471,784
1472,863
1473,681
1474,640
1475,541
1476,729
1477,510
1478,398
1479,64430
1480,64380
1481,64325
1482,64275
1483,64343
1484,64489
1485,64662
1486,64853
1487,65055
1488,65295
1489,65433
1490,1003
1491,775
1492,693
1493,713
1494,64842
1495,1095
1496,498
1497,603
1498,64812
1499,1120
1500,667
1501,556
1502,745
1503,5014
1504,65535
1505,683
1506,681
1507,592
1508,616
1509,754
1510,664
1511,687
1512,625
1513,570
1514,526
1515,689
1516,912
1517,685
1518,615
1519,718
1520,579
1521,1003
1522,64818
1523,1086
1524,659
1525,606
1526,675
1527,815
1528,544
1529,522
1530,783
1531,579
1532,527
1533,536
1534,100
1535,484
1536,528
1537,518
1538,614
1539,657
1540,659
1541,726
1542,881
1543,517
1544,698
1545,521
1546,1105
1547,648
1548,686
1549,684
1550,634
1551,738
1552,723
1553,578
1554,666
1555,579
1556,640
1557,568
1558,492
1559,487
1560,903
