,0
1112,562
1113,540
1114,65535
1115,910
1116,487
1117,64811
1118,955
1119,885
1120,641
1121,541
1122,1098
1123,688
1124,546
1125,1073
1126,497
1127,834
1128,771
1129,668
1130,676
1131,1202
1132,879
1133,1097
1134,537
1135,1108
1136,676
1137,545
1138,599
1139,664
1140,679
1141,1028
1142,1166
1143,100
1144,468
1145,586
1146,787
1147,664
1148,1054
1149,813
1150,652
1151,622
1152,647
1153,567
1154,772
1155,1129
1156,762
1157,643
1158,533
1159,64816
1160,940
1161,717
1162,1249
1163,1058
1164,1228
1165,685
1166,646
1167,725
1168,652
1169,1050
1170,529
1171,715
1172,623
1173,672
1174,656
1175,565
1176,538
1177,686
1178,748
1179,497
1180,672
1181,666
1182,607
1183,495
1184,528
1185,503
1186,533
1187,660
1188,773
1189,784
1190,1065
1191,759
1192,751
1193,550
1194,701
1195,1211
1196,64831
1197,1112
1198,1012
1199,577
1200,1119
1201,657
1202,402
1203,64451
1204,984
1205,596
1206,566
1207,522
1208,702
1209,756
1210,707
1211,1186
1212,522
1213,1129
1214,64821
1215,1090
1216,495
1217,564
1218,64813
1219,982
1220,669
1221,560
1222,536
1223,679
1224,801
1225,570
1226,1013
1227,666
1228,664
1229,591
1230,623
1231,948
1232,575
1233,525
1234,481
1235,660
1236,715
1237,65480
1238,1038
1239,591
1240,1134
1241,600
1242,1062
1243,490
1244,533
1245,683
1246,915
1247,715
1248,671
1249,1096
1250,480
1251,683
1252,684
1253,644
1254,510
1255,520
1256,754
1257,950
1258,911
1259,684
1260,666
1261,592
1262,675
1263,906
1264,621
1265,1098
1266,707
1267,524
1268,832
1269,681
1270,703
1271,581
1272,711
1273,707
1274,536
1275,538
1276,1187
1277,606
1278,504
1279,914
1280,723
1281,689
1282,655
1283,571
1284,759
1285,544
1286,778
1287,777
1288,991
1289,539
1290,767
1291,665
1292,516
1293,480
1294,875
1295,765
1296,656
1297,484
1298,700
1299,665
1300,676
1301,1141
1302,736
1303,545
1304,802
1305,811
1306,646
1307,1200
1308,525
1309,647
1310,1062
1311,549
1312,624
1313,998
1314,537
1315,1134
1316,508
1317,491
1318,688
1319,991
1320,903
1321,680
1322,64819
1323,1098
1324,582
1325,759
1326,1222
1327,499
1328,795
1329,577
1330,692
1331,646
1332,671
1333,697
1334,682
1335,64820
1336,976
1337,816
1338,601
1339,656
1340,614
1341,535
1342,813
1343,486
1344,532
1345,669
1346,774
1347,741
1348,628
1349,668
1350,701
1351,741
1352,1414
1353,0
1354,594
1355,535
1356,652
1357,755
1358,512
1359,1236
1360,713
1361,659
1362,540
1363,662
1364,529
1365,540
1366,676
1367,548
1368,798
1369,688
1370,818
1371,622
1372,1010
1373,510
1374,512
1375,646
1376,1404
1377,988
1378,4
1379,713
1380,658
1381,569
1382,602
1383,542
1384,506
1385,753
1386,527
1387,678
1388,640
1389,521
1390,678
1391,544
1392,648
1393,517
1394,712
1395,506
1396,508
1397,516
1398,658
1399,1193
1400,2212
1401,0
1402,715
1403,162
1404,469
1405,766
1406,703
1407,809
1408,914
1409,589
1410,843
1411,593
1412,524
1413,932
1414,1341
1415,2
1416,567
1417,925
1418,527
1419,101
1420,1047
1421,552
1422,656
1423,668
1424,852
1425,667
1426,1208
1427,1129
1428,779
1429,677
1430,497
1431,721
1432,670
1433,559
1434,797
1435,763
1436,1051
1437,1120
1438,735
1439,64828
1440,1103
1441,737
1442,1066
